1,63,193,152,1,167,244,63,193,152,1,167,244,1,167,244,63,193,152,1,167,244,63,193,152,4
2,29,209,96,29,209,96,29,209,96,29,209,96,29,209,96,29,209,96,29,209,96,158,6,10,8
3,191,148,85,191,148,85,191,148,85,112,12,252,191,148,85,112,12,252,191,148,85,112,12,252,3
4,103,58,171,103,58,171,103,58,171,103,58,171,244,110,205,103,58,171,244,110,205,103,58,171,1
5,184,31,21,184,31,21,184,31,21,184,31,21,184,31,21,220,243,208,184,31,21,220,243,208,9
6,22,55,145,22,55,145,22,55,145,22,55,145,246,118,187,246,118,187,22,55,145,246,118,187,5
7,109,168,135,109,168,135,109,168,135,109,168,135,109,168,135,52,66,216,109,168,135,52,66,216,9
8,170,84,83,170,84,83,170,84,83,64,229,31,170,84,83,170,84,83,64,229,31,64,229,31,2
9,150,93,36,10,154,213,150,93,36,150,93,36,150,93,36,150,93,36,150,93,36,10,154,213,0
10,51,101,119,51,101,119,51,101,119,162,6,159,51,101,119,162,6,159,51,101,119,162,6,159,3
11,131,187,141,6,246,101,6,246,101,6,246,101,131,187,141,6,246,101,131,187,141,6,246,101,7
12,205,113,19,205,113,19,205,113,19,205,113,19,205,113,19,205,113,19,205,113,19,10,226,192,8
13,7,94,45,7,94,45,7,94,45,7,94,45,7,94,45,50,10,211,7,94,45,50,10,211,9
14,135,131,179,95,157,78,135,131,179,95,157,78,95,157,78,135,131,179,95,157,78,135,131,179,4
15,122,189,136,45,184,30,45,184,30,45,184,30,122,189,136,45,184,30,122,189,136,45,184,30,7
16,10,247,237,59,239,206,59,239,206,59,239,206,10,247,237,59,239,206,10,247,237,59,239,206,7
17,243,12,5,243,12,5,243,12,5,243,12,5,22,132,224,243,12,5,22,132,224,243,12,5,1
18,65,4,249,65,4,249,65,4,249,65,4,249,70,58,132,70,58,132,65,4,249,70,58,132,5
19,108,16,32,108,16,32,108,16,32,108,16,32,108,16,32,108,16,32,108,16,32,243,30,6,8
20,15,30,33,15,30,33,15,30,33,143,187,245,15,30,33,143,187,245,15,30,33,143,187,245,3
21,188,14,62,188,14,62,188,14,62,188,14,62,158,173,4,158,173,4,188,14,62,158,173,4,5
22,212,178,36,212,178,36,212,178,36,212,178,36,36,218,163,36,218,163,212,178,36,36,218,163,5
23,33,168,19,33,168,19,33,168,19,33,168,19,63,129,37,33,168,19,33,168,19,63,129,37,6
24,36,166,172,36,166,172,36,166,172,36,166,172,36,166,172,125,134,114,36,166,172,125,134,114,9
25,173,246,205,173,246,205,173,246,205,173,246,205,51,217,152,173,246,205,173,246,205,51,217,152,6
26,167,242,214,167,242,214,167,242,214,167,242,214,167,242,214,167,84,30,167,242,214,167,84,30,9
27,221,93,203,221,93,203,221,93,203,221,93,203,221,93,203,221,93,203,221,93,203,245,191,20,8
28,33,125,214,200,43,212,200,43,212,200,43,212,33,125,214,200,43,212,33,125,214,200,43,212,7
